X,index,Artist,Followers,Genres,NumAlbums,YearFirstAlbum,Gender,Group_Solo,Features,Week,Total_streams
451,1356,frenship,,,,,,,,13/01/2017,7833734
452,1357,vérité,,,,,,,,13/01/2017,8679392
453,1358,lukas graham,,,,,,,,13/01/2017,9186494
454,1359,marc e. bassy,,,,,,,,13/01/2017,6588649
455,1360,mic lowry,,,,,,,,13/01/2017,4569866
456,1361,nause,,,,,,,Pretty Sister,13/01/2017,3158099
457,1362,the lumineers,,,,,,,,13/01/2017,6733235
458,1363,kream,,,,,,,Clara Mae,13/01/2017,6746326
459,1364,james bay,,,,,,,,13/01/2017,6301381
460,1365,x ambassadors,,,,,,,,13/01/2017,4031182
461,1366,james hersey,,,,,,,,13/01/2017,1971924
462,1367,stan kenton,,,,,,,,07/12/2018,4963404
463,1368,little mix,,,,,,,Nicki Minaj,07/12/2018,36478663
464,1369,"benny blanco, jesse, swae lee, jesse, swae lee",,,,,,,,07/12/2018,1808602
465,1370,"james arthur, james arthur, anne-marie, james arthur, anne-marie",,,,,,,,07/12/2018,1773123
466,1371,madison beer,,,,,,,Offset,07/12/2018,15680282
467,1372,"khalid, swae lee, swae lee",,,,,,,,16/02/2018,28715570
468,1373,sob x rbe,,,,,,,,16/02/2018,34816426
469,1374,"kendrick lamar, travis scott, travis scott",,,,,,,,16/02/2018,22437187
470,1375,"g-eazy, halsey, halsey",,,,,,,,16/02/2018,75760238
471,1376,"vince staples, yugen blakrok, yugen blakrok",,,,,,,,16/02/2018,10360962
472,1377,jorja smith,,,,,,,,16/02/2018,9158626
473,1378,rudimental,,,,,,,"Jess Glynne, Macklemore, Dan Caplen",16/02/2018,41689452
474,1379,"ab-soul, anderson .paak, james blake, anderson .paak, james blake",,,,,,,,16/02/2018,6865491
475,1380,"zacari, babes wodumo, babes wodumo",,,,,,,,16/02/2018,6219780
476,1381,"mozzy, sjava, reason, sjava, reason",,,,,,,,16/02/2018,3959003
477,1382,zacari,,,,,,,,16/02/2018,3822983
478,1383,"cashmere cat, major lazer, tory lanez, major lazer, tory lanez",,,,,,,,16/02/2018,17155701
479,1384,quality control,,,,,,,,16/02/2018,27906507
480,1385,hugh jackman,,,,,,,,16/02/2018,46833244
481,1386,ziv zaifman,,,,,,,,16/02/2018,14847632
482,1387,troye sivan,,,,,,,,16/02/2018,20276507
483,1388,loren allred,,,,,,,,16/02/2018,14925648
484,1389,jaden,,,,,,,,16/02/2018,18806846
485,1390,huncho jack,,,,,,,,16/02/2018,84466629
486,1391,devin dawson,,,,,,,,16/02/2018,17248760
487,1392,daniel caesar,,,,,,,Kali Uchis,16/02/2018,19235274
488,1393,walker hayes,,,,,,,,16/02/2018,5376188
489,1394,carnage,,,,,,,,02/02/2018,4086828
490,1395,matt terry,,,,,,,,02/02/2018,5817847
491,1396,maty noyes,,,,,,,,30/12/2016,1159616
492,1397,hozier,,,,,,,,08/03/2019,14706731
493,1398,"yungblud, halsey feat. travis barker, halsey",,,,,,,Travis Barker,08/03/2019,13126966
494,1399,grey,,,,,,,,03/03/2017,5548153
495,1400,thomas gold,,,,,,,,03/03/2017,6224877
496,1401,jay z,,,,,,,,03/03/2017,7945180
497,1402,frank ocean,,,,,,,,17/03/2017,19096199
498,1403,mustard,,,,,,,,17/03/2017,10300533
499,1404,dnce,,,,,,,,06/01/2017,1198196
500,1405,state of sound,,,,,,,,06/01/2017,1029544
501,1406,22 savage,,,,,,,,17/11/2017,4982496
502,1407,"ty dolla $ign, ty dolla $ign, future feat. kiiara, ty dolla $ign, future",,,,,,,Kiiara,17/11/2017,2764938
503,1408,big shaq,,,,,,,,17/11/2017,12805280
504,1409,"ray parker, jr.",,,,,,,,03/11/2017,3875332
505,1410,"maroon 5, julia michaels, julia michaels",,,,,,,,03/11/2017,6949517
506,1411,"bobby ""boris"" pickett",,,,,,,,03/11/2017,2751437
507,1412,"drake, michael jackson, michael jackson",,,,,,,,27/07/2018,31839386
508,1413,88rising,,,,,,,,27/07/2018,3290170
509,1414,sofia reyes,,,,,,,"Rita Ora, Anitta",22/03/2019,9055662
510,1415,"rich the kid, tory lanez, tory lanez",,,,,,,,22/03/2019,3707042
511,1416,"juice wrld, rvssian feat. clever, rvssian",,,,,,,Clever,22/03/2019,4998673
512,1417,jax jones,,,,,,,,21/04/2017,13955879
513,1418,"young thug, young thug, 2 chainz, wiz khalifa feat. pnb rock, young thug, 2 chainz, wiz khalifa",,,,,,,PnB Rock,21/04/2017,1227128
514,1419,vince staples,,,,,,,,30/06/2017,2805570
515,1420,kina,,,,,,,Snøw,07/06/2019,10051525
516,1421,denzel curry,,,,,,,,07/06/2019,3174803
517,1422,kris kross amsterdam,,,,,,,Conor Maynard,21/09/2018,12028000
518,1423,lovelytheband,,,,,,,,21/09/2018,7647918
519,1424,"gryffin, elley duhé, elley duhé",,,,,,,,21/09/2018,12929517
520,1425,paul rosenberg,,,,,,,,21/09/2018,9848470
521,1426,"eminem, jessie reyez, jessie reyez",,,,,,,,21/09/2018,8918694
522,1427,chris stapleton,,,,,,,,12/05/2017,2736146
523,1428,haim,,,,,,,,12/05/2017,1344245
524,1429,"smokepurpp, murda beatz, murda beatz",,,,,,,,06/04/2018,9114492
525,1430,"machine gun kelly, machine gun kelly, x ambassadors, bebe rexha, machine gun kelly, x ambassadors, bebe rexha",,,,,,,,22/12/2017,20189416
526,1431,belly,,,,,,,,13/04/2018,3114901
527,1432,"marshmello, tyga, chris brown, tyga, chris brown",,,,,,,,24/05/2019,9003617
528,1433,"illenium, jon bellion, jon bellion",,,,,,,,24/05/2019,1702587
529,1434,slipknot,,,,,,,,24/05/2019,1609098
530,1435,jhene aiko,,,,,,,,24/05/2019,3969502
531,1436,dj luian,,,,,,,,24/05/2019,6091926
532,1437,"lana del rey, the weeknd, the weeknd",,,,,,,,05/05/2017,6467938
533,1438,nick jonas,,,,,,,,24/02/2017,2638663
534,1439,takeoff,,,,,,,,30/11/2018,23539058
535,1440,"benny blanco, calvin harris, calvin harris",,,,,,,,30/11/2018,8275830
536,1441,"jid, j. cole, j. cole",,,,,,,,30/11/2018,1598599
537,1442,chris jeday,,,,,,,,14/07/2017,4581956
538,1443,dylan scott,,,,,,,,14/07/2017,3601806
539,1444,jess glynne,,,,,,,,15/06/2018,5043376
540,1445,anita kerr singers,,,,,,,,08/12/2017,9806714
541,1446,anitta,,,,,,,,08/12/2017,3194972
542,1447,swae lee,,,,,,,Rae Sremmurd,09/03/2018,1596479
543,1448,glades,,,,,,,,09/03/2018,2817691
544,1449,natti natasha,,,,,,,,09/03/2018,10724060
545,1450,"metro boomin, travis scott, travis scott",,,,,,,,09/11/2018,10587592
546,1451,charli xcx,,,,,,,,09/11/2018,4818138
547,1452,k/da,,,,,,,,09/11/2018,3586702
548,1453,moneybagg yo,,,,,,,J. Cole,09/11/2018,1481687
549,1454,chucho flash,,,,,,,,29/09/2017,4492514
550,1455,"earth, wind, fire",,,,,,,,29/09/2017,5242949
551,1456,odesza,,,,,,,Sasha Sloan,15/09/2017,1250287
552,1457,london on da track,,,,,,,,01/09/2017,1461393
553,1458,kris wu,,,,,,,Travis Scott,20/10/2017,1535534
554,1459,lean trap,,,,,,,,19/01/2018,3158507
555,1460,michelle williams,,,,,,,,19/01/2018,4278126
556,1461,vampire weekend,,,,,,,,01/02/2019,1703918
557,1462,jeremy zucker,,,,,,,,01/02/2019,5012581
558,1463,galantis,,,,,,,OneRepublic,15/02/2019,3557269
559,1464,"nicki minaj, labrinth, feat. eminem, labrinth &",,,,,,,Eminem,17/08/2018,2424879
560,1465,dj durel,,,,,,,,03/08/2018,1816891
561,1466,ybn cordae,,,,,,,,03/08/2018,1494564
562,1467,"mike will made-it, pharrell, kendrick lamar, pharrell, kendrick lamar",,,,,,,,23/11/2018,1569664
563,1468,pardison fontaine,,,,,,,Cardi B,23/11/2018,3017351
564,1469,hrvy,,,,,,,,23/03/2018,2943674
565,1470,"dj snake, sheck wes, feat. offset, 21 savage, gucci mane, sheck wes,",,,,,,,"Offset, 21 Savage, Gucci Mane",10/05/2019,4502677
566,1471,luh kel,,,,,,,,10/05/2019,1498845
567,1472,meduza,,,,,,,,10/05/2019,1455826
568,1473,g herbo,,,,,,,,27/04/2018,1656573
569,1474,nas,,,,,,,,22/06/2018,9835133
570,1475,tom petty and the heartbreakers,,,,,,,,06/10/2017,2827338
571,1476,gashi,,,,,,,,26/05/2017,2864189
572,1477,"bas, j. cole, j. cole",,,,,,,,31/08/2018,2331390
573,1478,"migos, migos, marshmello, migos, marshmello",,,,,,,,15/12/2017,4140142
574,1479,nat king cole trio,,,,,,,,29/12/2017,1449806
575,1480,kay starr,,,,,,,,29/12/2017,1439937
576,1481,rich brian,,,,,,,,19/05/2017,4365457
577,1482,"trouble, drake, mike will made-it, drake, mike will made-it",,,,,,,,05/01/2018,2947764
578,1483,kacey musgraves,,,,,,,,22/02/2019,1779563
579,1484,beyoncé,,,,,,,,03/05/2019,18259283
580,1485,roy woods,,,,,,,MadeinTYO,17/02/2017,1122012
581,1486,"normani, calvin harris) (feat. wizkid, calvin harris) (feat. wizkid",,,,,,,,02/11/2018,1975825
582,1487,"tory lanez, rich the kid, rich the kid",,,,,,,,02/11/2018,1728580
583,1488,ac/dc,,,,,,,,02/11/2018,1633236
584,1489,"ellie goulding, juice wrld, juice wrld",,,,,,,,05/07/2019,2718705
585,1490,"mustard, yg, tyga feat. a$ap ferg, a$ap rocky, yg, tyga",,,,,,,"A$AP Ferg, A$AP Rocky",05/07/2019,1614136
586,1491,megan thee stallion,,,,,,,DaBaby,05/07/2019,1568818
587,1492,janelle monáe,,,,,,,,02/03/2018,1716496
588,1493,dj a1,,,,,,,,16/03/2018,3596266
589,1494,cole swindell,,,,,,,Dierks Bentley,04/08/2017,2172625
590,1495,the xx,,,,,,,,20/01/2017,2220061
591,1496,wizkid,,,,,,,,07/04/2017,1242932
592,1497,tame impala,,,,,,,,19/04/2019,4011775
593,1498,mitchell tenpenny,,,,,,,,11/01/2019,1462815
594,1499,brockhampton,,,,,,,,28/09/2018,5226192
