X,index,Artist,Followers,Genres,NumAlbums,YearFirstAlbum,Gender,Group_Solo,Features,Week,Total_streams
139,1044,"benny blanco, halsey, khalid, halsey, khalid",,,,,,,,20/07/2018,224611615
140,1045,martin garrix,,,,,,,Khalid,20/07/2018,236481800
141,1046,the carters,,,,,,,,20/07/2018,40773576
142,1047,blocboy jb,,,,,,,Drake,20/07/2018,327018784
143,1048,ella mai,,,,,,,,20/07/2018,137589442
144,1049,selena gomez,,,,,,,,20/07/2018,291878675
145,1050,a$ap rocky,,,,,,,Skepta,20/07/2018,169798613
146,1051,"calvin harris, dua lipa, dua lipa",,,,,,,,20/07/2018,86149059
147,1052,clean bandit,,,,,,,Demi Lovato,20/07/2018,197139114
148,1053,"billie eilish, khalid, khalid",,,,,,,,20/07/2018,134930559
149,1054,loud luxury,,,,,,,,20/07/2018,62662512
150,1055,rich the kid,,,,,,,,20/07/2018,411377326
151,1056,nio garcia,,,,,,,,20/07/2018,110054010
152,1057,offset,,,,,,,,20/07/2018,450946095
153,1058,jonas blue,,,,,,,,20/07/2018,79132636
154,1059,kygo,,,,,,,,20/07/2018,172450054
155,1060,famous dex,,,,,,,,20/07/2018,305650673
156,1061,bazzi,,,,,,,,20/07/2018,427320936
157,1062,"khalid, normani, normani",,,,,,,,20/07/2018,207860601
158,1063,bebe rexha,,,,,,,Florida Georgia Line,20/07/2018,412572559
159,1064,khalid,,,,,,,,20/07/2018,1512913305
160,1065,rae sremmurd,,,,,,,Juicy J,20/07/2018,441486516
161,1066,dan + shay,,,,,,,,20/07/2018,235763390
162,1067,florida georgia line,,,,,,,,20/07/2018,89923973
163,1068,kyle,,,,,,,Kehlani,20/07/2018,346779217
164,1069,zedd,,,,,,,,20/07/2018,254866969
165,1070,lil uzi vert,,,,,,,,20/07/2018,1326349377
166,1071,billie eilish,,,,,,,,20/07/2018,1289537841
167,1072,playboi carti,,,,,,,Lil Uzi Vert,20/07/2018,331664245
168,1073,nf,,,,,,,,20/07/2018,210714239
169,1074,lil skies,,,,,,,,20/07/2018,537941424
170,1075,nav,,,,,,,Travis Scott,20/07/2018,306168472
171,1076,lil pump,,,,,,,,20/07/2018,337914912
172,1077,"jay rock, kendrick lamar, future, james blake, kendrick lamar, future, james blake",,,,,,,,20/07/2018,143963758
173,1078,future,,,,,,,,20/07/2018,861271592
174,1079,louis the child,,,,,,,Wafia,20/07/2018,16327661
175,1080,the weeknd,,,,,,,,20/07/2018,794789683
176,1081,lil dicky,,,,,,,Chris Brown,20/07/2018,118438503
177,1082,dennis lloyd,,,,,,,,20/07/2018,62595914
178,1083,becky g,,,,,,,,20/07/2018,21848506
179,1084,marshmello,,,,,,,,20/07/2018,646053521
180,1085,"kendrick lamar, sza, sza",,,,,,,,20/07/2018,202797307
181,1086,6ix9ine,,,,,,,,20/07/2018,603490610
182,1087,kodak black,,,,,,,XXXTENTACION,20/07/2018,1012363460
183,1088,travis scott,,,,,,,"Lil Uzi Vert, Kanye West",20/07/2018,1615697429
184,1089,kane brown,,,,,,,,20/07/2018,193204229
185,1090,imagine dragons,,,,,,,,20/07/2018,700238490
186,1091,camila cabello,,,,,,,Young Thug,20/07/2018,489182969
187,1092,lauv,,,,,,,,20/07/2018,375683207
188,1093,21 savage,,,,,,,,20/07/2018,914888503
189,1094,lil yachty,,,,,,,,20/07/2018,111489588
190,1095,anne-marie,,,,,,,,20/07/2018,33807833
191,1096,a$ap ferg,,,,,,,,20/07/2018,188813768
192,1097,lil xan,,,,,,,,20/07/2018,142322935
193,1098,ybn nahmir,,,,,,,,20/07/2018,176169836
194,1099,kids see ghosts,,,,,,,,20/07/2018,73711960
195,1100,g-eazy,,,,,,,,20/07/2018,302230978
196,1101,youngboy never broke again,,,,,,,,20/07/2018,95212961
197,1102,logic,,,,,,,,20/07/2018,819719208
198,1103,"years, years",,,,,,,,20/07/2018,3298993
199,1104,shawn mendes,,,,,,,,20/07/2018,411990172
200,1105,j balvin,,,,,,,,20/07/2018,159275789
201,1106,toto,,,,,,,,20/07/2018,41639229
202,1107,dua lipa,,,,,,,,20/07/2018,289329972
203,1108,"cheat codes, little mix, little mix",,,,,,,,20/07/2018,3124823
204,1109,"julia michaels, trippie redd, trippie redd",,,,,,,,20/07/2018,12795809
205,1110,luke combs,,,,,,,,20/07/2018,311652790
206,1111,madeintyo,,,,,,,A$AP Ferg,20/07/2018,60350897
207,1112,sam hunt,,,,,,,,20/07/2018,237460534
208,1113,the chainsmokers,,,,,,,,20/07/2018,889401540
209,1114,sam smith,,,,,,,,10/11/2017,225613518
210,1115,halsey,,,,,,,,10/11/2017,478717966
211,1116,"hailee steinfeld, alesso, florida georgia line, watt, alesso, florida georgia line, watt",,,,,,,,10/11/2017,141854744
212,1117,charlie puth,,,,,,,,10/11/2017,231070547
213,1118,a boogie wit da hoodie,,,,,,,Kodak Black,10/11/2017,653276660
214,1119,zayn,,,,,,,,10/11/2017,270502060
215,1120,tay-k,,,,,,,,10/11/2017,69486693
216,1121,macklemore,,,,,,,Skylar Grey,10/11/2017,107053820
217,1122,lorde,,,,,,,,10/11/2017,100669030
218,1123,n.e.r.d,,,,,,,,10/11/2017,43738007
219,1124,sza,,,,,,,Travis Scott,10/11/2017,240828483
220,1125,russ,,,,,,,,10/11/2017,230596338
221,1126,cheat codes,,,,,,,"Fetty Wap, CVBZ",10/11/2017,81996202
222,1127,niall horan,,,,,,,,10/11/2017,143294355
223,1128,blackbear,,,,,,,Gucci Mane,10/11/2017,152112104
224,1129,liam payne,,,,,,,,10/11/2017,177990692
225,1130,james arthur,,,,,,,,10/11/2017,223104941
226,1131,kesha,,,,,,,,10/11/2017,94993155
227,1132,avicii,,,,,,,Rita Ora,10/11/2017,133849370
228,1133,thomas rhett,,,,,,,,10/11/2017,209211367
229,1134,daya,,,,,,,,10/11/2017,16653748
230,1135,goldlink,,,,,,,"Brent Faiyaz, Shy Glizzy",10/11/2017,60440438
231,1136,"justin bieber, bloodpop®, bloodpop®",,,,,,,,10/11/2017,46981717
232,1137,"dj snake, lauv, lauv",,,,,,,,10/11/2017,15000745
233,1138,6lack,,,,,,,,10/11/2017,152933036
234,1139,tee grizzley,,,,,,,,10/11/2017,151061499
235,1140,jon pardi,,,,,,,,10/11/2017,60484680
236,1141,aminé,,,,,,,,10/11/2017,191637608
237,1142,cnco,,,,,,,,10/11/2017,16457825
238,1143,dram,,,,,,,Lil Yachty,10/11/2017,133629164
239,1144,metro boomin,,,,,,,,10/11/2017,173093738
240,1145,bryson tiller,,,,,,,,10/11/2017,229634989
241,1146,brett young,,,,,,,,10/11/2017,67762764
242,1147,"zedd, alessia cara, alessia cara",,,,,,,,10/11/2017,156295891
243,1148,julia michaels,,,,,,,,10/11/2017,200758916
244,1149,yfn lucci,,,,,,,PnB Rock,10/11/2017,52785006
245,1150,noah cyrus,,,,,,,,10/11/2017,35248126
246,1151,trippie redd,,,,,,,,10/11/2017,409358535
247,1152,dustin lynch,,,,,,,,10/11/2017,44028006
248,1153,lanco,,,,,,,,10/11/2017,23612183
249,1154,chance the rapper,,,,,,,"Lil Wayne, 2 Chainz",10/11/2017,213006887
250,1155,hailee steinfeld,,,,,,,,10/11/2017,151787286
251,1156,ty dolla $ign,,,,,,,"Lil Wayne, The-Dream",10/11/2017,33619008
252,1157,"pnb rock, pnb rock, kodak black, a boogie wit da hoodie, pnb rock, kodak black, a boogie wit da hoodie",,,,,,,,10/11/2017,42196472
253,1158,louis tomlinson,,,,,,,"Bebe Rexha, Digital Farm Animals",25/08/2017,45431482
254,1159,skrillex,,,,,,,,25/08/2017,22254654
255,1160,axwell /\ ingrosso,,,,,,,,25/08/2017,39111056
256,1161,"onerepublic, seeb, seeb",,,,,,,,25/08/2017,22502032
257,1162,"kygo, selena gomez, selena gomez",,,,,,,,25/08/2017,131850128
258,1163,maluma,,,,,,,,25/08/2017,57820498
259,1164,rita ora,,,,,,,,25/08/2017,54690978
260,1165,fifth harmony,,,,,,,,25/08/2017,54673585
261,1166,sabrina carpenter,,,,,,,,25/08/2017,30785431
262,1167,"ayo, teo",,,,,,,,25/08/2017,82789520
263,1168,"zedd, liam payne, liam payne",,,,,,,,25/08/2017,16459814
264,1169,lany,,,,,,,,25/08/2017,16630788
265,1170,a$ap mob,,,,,,,,25/08/2017,24379761
266,1171,moon taxi,,,,,,,,25/08/2017,13415249
267,1172,smokepurpp,,,,,,,,25/08/2017,49482395
268,1173,"tyler, the creator",,,,,,,,25/08/2017,206835884
269,1174,lord huron,,,,,,,,25/08/2017,50091680
270,1175,danny ocean,,,,,,,,25/08/2017,9701312
271,1176,old dominion,,,,,,,,25/08/2017,31452030
272,1177,chad focus,,,,,,,,25/08/2017,1172984
273,1178,nebu kiniza,,,,,,,,25/08/2017,34792858
274,1179,rob $tone,,,,,,,,25/08/2017,67982499
275,1180,nexxthursday,,,,,,,"Quavo, Lil Yachty",25/08/2017,4555372
276,1181,harry styles,,,,,,,,25/08/2017,90796249
277,1182,maggie lindemann,,,,,,,,25/08/2017,42622300
278,1183,pnb rock,,,,,,,,25/08/2017,77144077
279,1184,ajr,,,,,,,,25/08/2017,87567898
280,1185,"machine gun kelly, camila cabello, camila cabello",,,,,,,,10/03/2017,75905763
281,1186,jon bellion,,,,,,,,10/03/2017,60264025
282,1187,alessia cara,,,,,,,,10/03/2017,115226073
283,1188,starley,,,,,,,,10/03/2017,65506905
284,1189,marian hill,,,,,,,,10/03/2017,26078503
285,1190,the vamps,,,,,,,,10/03/2017,31959709
286,1191,snakehips,,,,,,,,10/03/2017,27006912
287,1192,martin jensen,,,,,,,,10/03/2017,33919971
288,1193,olivia holt,,,,,,,,10/03/2017,29342654
289,1194,petit biscuit,,,,,,,,10/03/2017,26378870
290,1195,ugly god,,,,,,,,10/03/2017,38584395
291,1196,a r i z o n a,,,,,,,,10/03/2017,16184057
292,1197,dj snake,,,,,,,,10/03/2017,46119942
293,1198,stanaj,,,,,,,,10/03/2017,15138315
294,1199,partynextdoor,,,,,,,Drake,10/03/2017,37519276
295,1200,mike will made-it,,,,,,,"21 Savage, YG, Migos",10/03/2017,34719669
296,1201,"lil uzi vert, lil uzi vert, quavo, travis scott, lil uzi vert, quavo, travis scott",,,,,,,,10/03/2017,2814604
297,1202,jp cooper,,,,,,,,10/03/2017,21810719
298,1203,desiigner,,,,,,,,10/03/2017,62039264
299,1204,max,,,,,,,,10/03/2017,38895550
300,1205,"lil wayne, wiz khalifa, imagine dragons, logic, ty dolla $ign feat. x ambassadors, wiz khalifa, imagine dragons, logic, ty dolla $ign",,,,,,,X Ambassadors,10/03/2017,34205178
301,1206,isaiah,,,,,,,,10/03/2017,14385124
302,1207,robin schulz,,,,,,,,10/03/2017,15949225
303,1208,auli'i cravalho,,,,,,,,10/03/2017,21946103
304,1209,gryffin,,,,,,,Daya,10/03/2017,1267522
305,1210,gnash,,,,,,,olivia o'brien,10/03/2017,18720111
306,1211,sage the gemini,,,,,,,,10/03/2017,21363293
307,1212,young m.a,,,,,,,,10/03/2017,22388710
308,1213,bts,,,,,,,,25/05/2018,147145059
309,1214,"the weeknd, kendrick lamar, kendrick lamar",,,,,,,,25/05/2018,91033392
310,1215,"diplo, french montana, lil pump, feat. zhavia ward, french montana, lil pump,",,,,,,,Zhavia Ward,25/05/2018,10590701
311,1216,notd,,,,,,,Bea Miller,25/05/2018,22387335
312,1217,jordan davis,,,,,,,,25/05/2018,25566609
313,1218,king princess,,,,,,,,25/05/2018,33698156
314,1219,bhad bhabie,,,,,,,Lil Yachty,25/05/2018,3031342
315,1220,chris lane,,,,,,,,25/05/2018,15428946
316,1221,lil nas x,,,,,,,Billy Ray Cyrus,12/04/2019,320551840
317,1222,"khalid, john mayer, john mayer",,,,,,,,12/04/2019,29837461
318,1223,ynw melly,,,,,,,,12/04/2019,255337551
319,1224,"ariana grande, victoria monét, victoria monét",,,,,,,,12/04/2019,18724171
320,1225,"mustard, migos, migos",,,,,,,,12/04/2019,111116954
321,1226,blackpink,,,,,,,,12/04/2019,22840448
322,1227,ski mask the slump god,,,,,,,,12/04/2019,181426121
323,1228,calboy,,,,,,,,12/04/2019,94095909
324,1229,alec benjamin,,,,,,,,12/04/2019,57492712
325,1230,blueface,,,,,,,,12/04/2019,131813076
326,1231,"sam smith, normani, normani",,,,,,,,12/04/2019,102040449
327,1232,sheck wes,,,,,,,,12/04/2019,274605707
328,1233,flipp dinero,,,,,,,,12/04/2019,178815873
329,1234,mabel,,,,,,,,12/04/2019,48457098
330,1235,maren morris,,,,,,,,12/04/2019,25253369
331,1236,ava max,,,,,,,,12/04/2019,103662621
332,1237,dean lewis,,,,,,,,12/04/2019,119647762
333,1238,polo g,,,,,,,Lil Tjay,12/04/2019,72494880
334,1239,city girls,,,,,,,,12/04/2019,56341212
335,1240,bad bunny,,,,,,,Drake,12/04/2019,233557761
336,1241,tory lanez,,,,,,,,12/04/2019,64648230
337,1242,joji,,,,,,,,12/04/2019,125988105
